Feature,Coefficient
Age,-0.5808987831875955
InterestRate,0.4564218633203095
MonthsEmployed,-0.33534233663435853
Income,-0.31220298453797746
LoanAmount,0.28555542983864324
EmploymentType,0.14290507995103321
HasCoSigner,-0.12872234097462049
HasDependents,-0.12597774347142113
CreditScore,-0.12412364055675042
NumCreditLines,0.1015739952075259
Education,-0.08178914827473048
HasMortgage,-0.0816184041413979
DTIRatio,0.06822638700272135
LoanPurpose,-0.036906147928696495
MaritalStatus,-0.021246700801836667
LoanTerm,0.0005202226653900883
